a	art.一(个)；每一(个)；(同类事物中)任一个
scholarship	n.奖学金;学问,学识
school	n.学校，(大学里的)学院；上学，学业；学派
science	n.科学;学科
scientific	a.科学上的
scientist	n.科学家
scissors	n.剪子
scold	v.责骂,训斥
scope	n.(活动)范围;机会,余地
score	n.得分,分数;二十 v.得(分),记(…的)分数
scorn	v./n.轻蔑,藐视
scout	n.侦察员,侦察机(舰) v.搜索,侦察
scramble	vi.(快速地)爬，攀登；互相争夺，争先
scrap	n.碎片;废料 v.废弃,报废
scrape	v.刮(掉),擦过,勉强通过 n.刮,擦痕,刮擦声
scratch	v.抓,搔,扒 n.抓,搔,抓痕;起跑线
scream	v./n.尖声叫,喊叫着说出,(风)呼啸
screen	n.屏幕,屏风;帘 v.掩蔽,包庇;筛选
screw	n.螺旋,螺丝(钉) v.拧,拧紧
script	n.剧本(原稿)；手稿，原稿；笔迹，手迹
scrutiny	n.周密的调查；仔细看；监视；选票复查
sculpture	n.雕刻(术)，雕塑(术)；雕刻作品
sea	n.海，海洋，大量
seal	n.封铅,封条;印,图章;海豹 v.封,密封
seam	n.缝,接缝
search	v./n.(for)搜索,寻找,探查
seaside	n.海滨,海边
season	n.季,季节,时节
seat	n.座位,底座;所在地,场所 v.使坐下
second	a.第二;次等的,二等的 n.秒 v.赞成,附和
secondary	a.次要的,二级的;中级的,第二的
secret	a.秘密的,机密的 n.秘密
secretary	n.秘书,书记;部长,大臣
section	n.章节,部分;地区,部门,科;截面,剖面
sector	n.部门，部分；防御地段，防区；扇形
secure	a.(from,against)安全的,放心的v.得到;防护
security	n.安全(感),防御(物),保证(人),(pl.)证券
see	vt.看见；会面；探望；知道，获悉；送行
seed	n.种子 v.播种;结实,结籽
seek	v.(after,for)寻找,探索;试图,企图
seem	v.好像,似乎
seemingly	ad.外观上，表面上
segment	n.段,片,节,部分
segregate	vt.使???分开，隔离（病患等）
seize	v.抓住,逮住;夺取,占领;没收,查封
seldom	ad.很少,不常
select	v.选择,挑选 a.精选的,选择的
selection	n.选择,挑选;选集,精选物
self	n.自我，自己(pl.selves)
selfish	adj.自私的，利己的
sell	v.卖,出售
semester	n.学期
semiconductor	n.半导体
seminar	n.(大学的)研究班,研讨会
senate	n.参议院,上院
senator	n.参议员
send	v.(sent,sent)1.打发；派遣 2.送；寄出
senior	a.年长的;地位较高的 n.(大学)四年级学生
sensation	n.感觉,知觉;激动,轰动,轰动一时的事情
sense	n.感官;感觉;判断力;意义 v.觉得,意识到
sensible	a.明智的,达理的;可觉察的,明显的
sensitive	a.(to)敏感的,易受伤害的;灵敏的
sentence	n.句子;判决,宣判 v.宣判,判决
sentiment	n.感情，柔情；看法；感觉
separate	a.(from)分离的,分开的
September	n.九月
sequence	n.先后,次序;连续,数列
serial	n.连载小说，连续剧；连载刊物 a.连续的
series	n.一系列,连续;丛书
serious	a.严肃的;主要的;严重的,危急的;认真的
servant	n.仆人
serve	v.服务,尽责;招待,侍候;符合,适用
service	n.服务;公共设施;维修保养;行政部门v.维修
session	n.(一届)会议,一段时间
set	n.一套,一副,装置,接受机v.提出,调整,日落
setback	n.挫折；失效；复发；倒退
setting	n.安置;落山;(固定东西的)柜架底座;环境
settle	v.安定,安顿;停息;定居;解决,调停
settlement	n.解决,决定,调停;居留区,住宅区
seven	num.七，七个(人或物)
several	a.几个，若干，数个；各个的，各自的
severe	a.严厉的;剧烈的,严重的,严峻的,艰难的
sew	v.缝,缝纫
sex	n.性别,性
shabby	a.简陋的,破旧的,卑鄙的,不公平的
shade	n.荫,阴影;遮光物,罩 v.遮蔽,遮光
shadow	n.阴影,影子,荫;暗处,阴暗
shady	a.成荫的,多荫的;可疑的,靠不住的
shaft	n.轴;杆状物
shake	n./v.摇动,摇;颤抖,震动
shall	aux.v.(我，我们)将要，会；必须，应该
shallow	a.浅的,浅薄的 n.浅滩,浅处
sham	n./a.假冒(的)，虚伪(的)
shame	n.羞耻,耻辱;可耻的人(或事物) v.使羞愧
shampoo	n.洗发膏,香波;洗发,洗头 v.洗发,洗头
shape	n.形状,外形;情况,状态;种类v.成型,塑造
share	v.(with)分配,共用;分担n.一份,份额;股份
shark	n.鲨鱼
sharp	a.锋利的;轮廓分明的;急转的ad.(指时刻)正
shatter	n.碎片；粉碎　v.粉碎；使疲惫；使震骇
shave	v.剃,刮,刨,削 n.刮脸
she	pron.(主格)她
shear	v.剪,修剪
shed	v.流出;发散,散发,脱落,脱去 n.棚,小屋
sheep	n.(绵)羊；易受人摆布的人
sheer	a.纯粹的,十足的,全然的;陡峭的,险峻的
sheet	n.被单;(一)张,(一)片,薄片;大片
shelf	n.架子,搁板
shell	n.壳,贝壳;炮弹
shelter	n.掩蔽处;掩蔽,保护 v.掩蔽,躲避,庇护
shepherd	n.牧民,牧羊人
shield	n.防护物,护罩;盾,盾状物 v.保护,防护
shift	v.替换,转移n.转换,转变;(轮)班,(换)班
shilling	n.先令
shine	v.照耀,发光;擦亮 n.光泽,光
ship	n.船舶，舰艇 v.装运，航运，运送；发货
shipment	n.装船,装运;装载的货物,装货量
shirt	n.衬衫
shiver	v./n.战栗,发抖
shock	n.震动;电击,触电;休克v.(使)震动/震惊
shoe	n.鞋
shoot	v.发射;掠过,疾驰而过 n.嫩枝,苗,射击
shop	n.商店，店铺；工厂，车间  v.买东西
shopkeeper	n.店主
shore	n.海滨,湖滨
short	a.短的,矮的;(of)缺乏,不足 n.(pl.)短裤
shortage	n.不足,缺少
shortcoming	n.短处,缺点
shorthand	n.速记
shortly	ad.立刻，不久；不耐烦地，简慢地
shot	n.开枪,射击;投篮;弹丸,炮弹,子弹
should	aux.v.应该；万一；可能，该；就；竟然会
shoulder	n.肩,肩部 v.肩负,承担
shout	v.大声叫，喊，呼出 n.呼喊，叫
shove	vt.乱推；乱塞vi.用力推，挤n.猛推
show	n.节目，表演 v.上演(戏剧等)，放映(电影)
shower	n.阵雨;沐浴;(一)阵/大批v.下阵雨,倾注
shrewd	a.机灵的,敏锐的;精明的
shrink	v.起皱,收缩;退缩,畏缩
shrug	vt./n.耸肩(表示冷淡、怀疑、无奈、不满等)
shut	v.关,关闭
shutter	n.百叶窗；(照相机)快门；关闭装置
shuttle	n.往返汽车/列车/飞机；穿梭 v.往返穿梭
shy	a.怕羞的，腼腆的；胆怯的vi.惊退，畏缩
sick	a.有病的,患病的;恶心的,想吐的
side	n.旁边，侧面；坡，岸；一边/侧/方 vi.支持
sideways	ad./a.向旁边(的),侧身,横着(的),斜着(的)
siege	n.包围，围攻，围困
sigh	n.叹息,叹息声 v.叹息,叹气
sight	n.视力;望见,瞥见;视域;眼界;情景,奇观
sightseeing	n.观光,游览
sign	n.标记,招牌;征兆,迹象v.签名(于),署名(于)
signal	n.信号,暗号 v.发信号,用信号通知
signature	n.签名,署名,签字
significance	n.意义,含义;重要性,重要的
significant	a.有意义的;重大的,重要的
signify	v.表示,意味;要紧,有重要性
silence	n.寂静,沉默 v.使沉默,使安静
silent	a.寂静,沉默的
silicon	n.硅
silk	n.丝,绸
silly	a.傻的,糊涂的,愚蠢的
silver	n.银;银器;银币 v.镀银
similar	a.(to)相似的,类似的
simple	a.简单的;单纯的,直率的;迟钝的,头脑简单的
simplicity	n.简单,简易;朴素;直率,单纯
simplify	v.简化,使单纯
simply	ad.简单地;完全,简直;仅仅,只不过;朴素地
simulate	v.模仿,模拟;假装,冒充
simultaneous	a.同时的,同时存在的
sin	n.罪,罪恶 v.犯罪
since	prep.自从 conj.自从；因为，既然  ad.后来
sincere	a.诚挚的,真实的,诚恳的
sing	v.唱,演唱;鸡叫
single	a.单人的;单一的,单个的;未婚的,独身的
singular	a.非凡的,卓越的;单数的
sink	v.(使)下沉,下落 n.水槽,水池
sip	v.小口地喝，抿，呷n.一小口的量
sir	n.先生，长官；[S -用于姓名前]…爵士
siren	n.警报声,警报器
sister	n.姐，妹；护士长；修女，女教士
sit	vi.坐，坐下；位于；栖息；孵卵 vt.使就坐
site	n.位置,场所,地点
situated	a.坐落在…的
situation	n.形势,处境,状况;位置,场所;职位,职务
six	num.六 pron./a.六(个，只...)
size	n.大小,尺寸,规模;尺码
skate	v.溜冰,滑冰 n.冰鞋
skeleton	n.骨骼;骨架,框架;梗概,提要
skeptical	a.怀疑的 [英]sceptical
sketch	n.素描;略图,草图;梗概 v.绘略图,速写,写生
ski	n.雪橇 v.滑雪
skill	n.技能,技巧,手艺;熟练
skilled	a.(in)熟练的,有技能的;需要技能的
skillful	a.(skilful)(in,at)灵巧的,娴熟的
skim	vt.撇去(液体表面)之漂浮物 vi.轻轻掠过
skin	n.皮,皮肤;兽皮,皮毛;外皮,外壳 v.剥皮
skip	vi.略过，跳过 n.跳跃 vt.故意忽略；略过
skirt	n.裙子;边缘,郊区
skull	n.头盖骨，颅骨
sky	n.天空；[pl.]天色；气候
skyscraper	n.摩天大楼
slack	a.懈怠的,松驰的;萧条的 n.淡季;(pl.)便裤
slam	v.(门、窗等)砰地关上 n.猛然关闭的声音
slap	n./v.拍,掌击
slaughter	n.屠杀，屠宰 vt.屠杀，宰杀
slave	n.奴隶,苦工 v.做苦工,拼命地干
sleep	v.(slept,slept)睡 n.睡眠
sleeve	n.袖子
slender	a.修长的,细长的,苗条的;微小的,微薄的
slice	n.薄片,切片;一份;部分切(片)
slide	v.(使)滑动 n.滑坡,滑道;滑,滑动;幻灯片
slight	a.轻微的,微小的;纤细的,瘦弱的
slim	a.苗条的;(机会)少的 v.减轻体重,变苗条
slip	v.滑,滑倒;滑掉;溜走n.疏忽,小错,口误,笔误
slipper	n.便鞋,拖鞋
slippery	a.滑的,滑溜的
slit	v.切开,截开,纵割 n.细长裂缝,狭长切口
slogan	n.标语,口号
slope	n.斜坡,斜面;倾斜,斜度 v.(使)倾斜
slot	n.狭缝；空位vt.放入狭缝中；把…纳入
slow	a.慢的,不活跃的 v.(down)(使)放慢,减速
slum	n.贫民窟,贫民区,陋巷
sly	a.狡猾的,偷偷摸摸的
small	a.小的；年幼的；不重要的；小规模(经营)的
smart	a.漂亮的;聪明的;巧妙的 v.剧痛,刺疼
smash	v./n.打碎,粉碎
smell	n.气味;嗅觉 v.嗅,闻到;散发(…的)气味
smile	n.微笑，笑容 vi.微笑，露出笑容
smog	n.烟雾
smoke	n.烟,烟尘;吸烟,抽烟 v.抽(烟);冒烟,冒气
smooth	a.光滑的;顺利的;柔和的 v.(over)掩饰
smuggle	v.走私;偷运
snack	n.快餐,小吃,点心
snake	n.蛇
snap	v.啪地移动；(使）突然断开，断开（成两截)
snatch	n./v.攫取,抢夺
sneak	vi.偷偷地走，溜vt.偷偷地做(或拿、吃)
sneeze	vi.打喷嚏，发喷嚏声n.喷嚏
sniff	vi.嗅…味道；抽鼻涕；对嗤之以鼻，蔑视
snow	n.雪，下雪 vi.下雪；如雪一般地落下
snowstorm	n.暴风雪
so	ad.那么；非常；也；不错 conj.因此；以便


soak	v.浸泡,浸湿,浸透
soap	n.肥皂
soar	vi.(指鸟等)高飞，翱翔；飞涨；高耸
sob	v./n.哭泣,呜咽
sober	a.清醒的;认真的,冷静的,适度的
so-called	a.(贬)所谓的，号称的
soccer	n.足球
sociable	a.好交际的，友好的，合群的
social	a.社会的;交际的
socialism	n.社会主义
society	n.社会;社团,协会,社;社交界,上流社会
sociology	n.社会学
sock	n.(pl.)短袜
soda	n.苏打,汽水
sofa	n.长沙发，沙发
soft	a.软的;温柔的;细嫩的,光滑的;不含酒精的
software	n.软件
soil	n.泥土,土地,土壤 v.弄脏,(使)变脏
solar	a.太阳的,日光的
soldier	n.士兵,军人
sole	a.单独的,唯一的 n.脚垫,鞋底
solemn	a.庄严的,隆重的;严肃的
solid	a.固体的;结实的,稳固的,可靠的 n.固体
solidarity	n.团结；休戚相关
solitary	a.(好)孤独的；偏僻的；单一的，唯一的
solo	n.独奏 a.&ad.单独的(地)；独唱的(地)
soluble	a.可溶的
solution	n.解答,解决办法;溶解,溶液
solve	v.解决,解答
some	a.几个；一些；有些；某(人或物) pron.一些
somebody	pron.某人，有人 n.重要人物
somehow	ad.以某种方式，用某种方法；不知怎么地
someone	pron.某人(=somebody)
something	pron.某事，某物；被视为有意义的事物
sometime	ad.将来(或过去)某个时候a.以前的
sometimes	ad.不时，有时，间或
somewhat	pron.&ad.一点儿，几分
somewhere	ad.某地，在某处；在附近，前后，大约
son	n.儿子；孩子(长者对年青或年幼男子的称呼)
song	n.歌唱，(虫、鸟等)鸣声；歌曲，歌词
soon	ad.不久，即刻；快，早
sophisticated	a.尖端的,复杂的,先进的;老练的,老于世故的
sophomore	(中学、大学)二年级学生
sore	a.疼痛的;痛心的 n.痛处,疮口
sorrow	n.悲衰,悲痛
sorry	a.对不起，抱歉的；难过，悔恨的；使人伤心
sort	n.种类,类别 v.分类,整理
soul	n.灵魂,心灵;精神,精力;人
sound	n.声音v.发声,响a.健全的,完好的;正当的
soup	n.汤
sour	a.酸的;发酸的;酸痛的;脾气坏的;刻薄的
source	n.源,源泉;来源,出处
south	n.南,南方,南部 a.南方的,南部的
southeast	n./a.东南(的),东南部(的)
southern	a.南方的,南部的
southwest	n./a.西南(的),西南部(的)
sovereign	a.独立的，有主权的 n.君主，国王，统治者
sow	v.播种
space	n.间隔;空地,余地;空间 v.留间隔,隔开
spacecraft	n.宇宙飞船
spaceship	n.宇宙飞船
spacious	adj.广阔的，宽敞的
spade	n.铁锹,铲子
span	n.跨度,跨距
spare	a.多余的,备用的 v.节约,节省;抽出(时间)
spark	n.火花,火星 v.发火花,发电花
sparkle	v.发火花,闪耀
speak	v.说话，讲话；演说，发言；(in)说某种语言
speaker	n.说话者，发言者；说某种语言者；扬声器
spear	n.矛,枪
special	a.特殊的,专门的;附加的,额外的
specialist	n.专家
speciality	n.(specialty)特性，性质；专业/长；特产
specialize	v.(specialise)(in)专攻,专门研究,专业化
species	n.(物)种,种类
specific	a.明确的,具体的;特定的,特有的
specification	n.详述;(常pl.)规格,说明书,规范
specify	v.指定,详细说明
specimen	n.标本,样本
spectacle	n.(pl.)眼镜;场面,景象;奇观,壮观
spectacular	a.壮观的,引人注目的 n.壮观的演出
spectator	n.观众,旁观者
spectrum	n.谱，光谱，频谱；范围，幅度，系列
speculate	vi.思索；推测vt.投机；思索，推测
speech	n.演说,讲话;言语,语言
speed	n.速度,快 v.迅速,前进,急行;加速,使加速
spell	v.拼写
spelling	n.拼法,拼写法
spend	v.花费;消耗,用尽;度过,消磨
sphere	n.球,球体;范围,领域
spicy	a.加很多香料的；(口味)浓郁的
spider	n.蜘蛛
spill	v.溢出,溅出 n.摔下,跌下
spin	v.旋转;纺纱;织网,吐丝 n.旋转;自转
spine	n.脊柱，脊椎；(动植物的)刺；书脊
spiral	a.螺旋形的 n.螺旋，螺线 v.螺旋上升；盘旋
spirit	n.精神;志气;(pl.)情绪,心情;(pl.)酒精
spiritual	a.精神(上)的,心灵的
spit	v.吐(唾沫),吐痰 n.唾液
spite	n.恶意;怨恨
splash	v.溅,泼 n.溅,飞溅声
splendid	a.壮丽的,辉煌的;极好的
split	v.裂开,劈开;分裂,分离 n.分化,分裂,裂口
spoil	v.损坏,搞错;宠坏,溺爱
spokesman	n.发言人
sponge	n.海绵
sponsor	n.发起人,主力者,保证人 v.发起,主办
spontaneous	a.自发的,自然产生的
spoon	n.匙,调羹
sport	n.(体育)运动 (pl.)运动会 vi.开玩笑；玩耍
sportsman	n.爱好运动的人；运动员
spot	n.斑点;地点 v.认出,认清,发现;玷污,弄脏
spouse	n.配偶(指夫或妻)
spray	n.喷雾,飞沫,浪花,水花 v.喷,喷射
spread	v./n.伸开,伸展;散布,传播
spring	n.春;跳;泉,源泉;弹簧,发条 v.跳,跳跃
sprinkle	n.洒,喷,淋
sprout	vi.发芽，抽条 vt.使发芽 n.新芽，嫩苗
spur	n.靴刺,马刺;刺激,刺激物 v.刺激,激励
spy	n.间谍 v.当间谍,刺探;察觉,发现
square	n.正方形;广场a.正方形的v.使成方形
squeeze	v.压榨,挤 n.榨取,勒索
squirrel	n.松鼠
stab	v./n.刺,戳
stability	n.稳定,安定
stable	a.稳定的,安定的 n.马厩,马棚
stack	n.堆,一堆 v.堆积,堆起
stadium	n.体育场
staff	n.全体职工;杠,棒;参谋部 v.配备工作人员
stage	n.舞台,戏剧;阶段,时期
stagger	vi.摇晃着移动;蹒跚 n.摇晃不稳的动作;蹒跚
stain	n.污点,瑕疵 v.沾污;染色
stair	n.(pl.)楼梯
staircase	n.(stairway)楼梯
stake	n.桩,标桩;赌注,利害关系
stale	n.变质的,不新鲜的;陈旧的,陈腐的
stalk	n.茎，梗vt.悄悄地跟踪vi.高视阔步地走
stall	n.货摊;畜栏,厩 v.(使)停转,(使)停止
stamp	n.邮票;印;跺脚;标志v.跺脚,顿足;盖章
stand	vi.站立；位于；经受 n.台，座；货摊；立场
standard	n.标准,规则 a.标准的
standpoint	n.立场,观点
staple	n.主要产品；名产；纤维；主要成分，主食
star	n.星；恒星；明星 v.用星号标出；扮演主角
stare	v.(at)盯,凝视
start	v.开始;动身;吃惊;开办,开动 n.开端;惊起
startle	v.惊吓,使吃惊
starve	v.(使)饿死,饿得慌,挨饿
state	n.状态,情况;国,州 v.陈述,说明
statement	n.声明,陈述
statesman	n.政治家,国务活动家
static	a.(statical)静态的,静力的
station	n.车站;所,站,局;身份,地位 v.安置,驻扎
stationary	a.静止的,固定的
stationery	n.文具
statistical	a.统计的,统计学的
statue	n.塑像,雕像
status	n.地位,身份;情形,状况
statute	n.成文法，法令，法规；章程，规则，条例
stay	vi.逗留；保持vt.停止，延缓n.逗留，停留
steady	a.稳定的,不变的;坚定的v.(使)稳固/稳定
steak	n.牛排；大块肉(或鱼)片
steal	v.偷,窃取;偷偷地做,巧取
steam	n.水汽,蒸汽,水蒸气 v.蒸发;蒸;用蒸汽开动
steamer	n.汽船,轮船
steel	n.钢
steep	a.陡峭的；险峻的；急剧升降的vt.浸泡,沉浸
steer	vt.驾驶，为…操舵；引导vi.驾驶
stem	n.茎，干 vt.堵(挡)住 vi.起源于，由…造成
step	n.步;台阶,梯级;步骤,措施 v.踏,走,举步
stereo	n.立体声音响；立体声装置 n./a.立体声(的)
stereotype	n.陈规，老套，模式化 vt.使定型，使模式化
stern	a.严厉的;坚决的,坚定的 n.船尾,舟尾
steward	n.乘务员，服务员；看管人；膳食管理员
stick	n.棍,棒,手杖 v.刺,戳,扎;粘贴
sticky	a.粘的，粘性的；棘手的；(道路)泥泞的
stiff	a.硬的,僵直的;拘谨的;呆板的;艰难的
still	a.静止的，寂静的 ad.还，仍然；更；安静地
stimulate	v.刺激,使兴奋;激励,鼓舞
sting	v./n.刺,刺痛,剧痛;刺,叮
stir	v.搅拌,搅动;动,摇动;激动;轰动;煽动,鼓动
stitch	n.一针；(因跑步引起的)肋部剧痛 v.缝(合)
stock	n.备料,库存,现货;股票,公债 v.储存
stocking	n.长(统)袜
stomach	n.胃，胃口；肚子，腹部vt.承受，忍受
stone	n.石，石头；岩石，矿石；(水果的)核、子
stool	n.凳子；(pl.)大便
stoop	v.弯腰,俯身 n.弯腰,曲背
stop	v.停止;塞住;阻止,阻挠;逗留 n.停车站;停止
storage	n.贮藏(量),保管;库房
store	n.商店,店铺;贮藏,贮备品 v.贮藏,贮备
storey	n.(story)楼,层
storm	n.暴风雨,暴风雪;激动,爆发 v.猛攻,直捣
story	n.故事,传说,小说;(=storey)楼层
stove	n.炉子,火炉
straight	a.直的;整齐的,端正的 ad.直接;正直,直率
straightforward	a.正直的;简单的,易懂的 ad.坦率地
strain	v.拉紧;紧张;扭伤;竭尽全力 n.拉紧;负担
strange	a.奇怪的,奇异的;陌生的,生疏的;外地的
stranger	n.陌生人,生客;外地人,外国人
strap	n.皮带，带子v.用带扣住，束牢；用绷带包扎
strategy	n.战略，策略；对策，政策
straw	n.稻草,麦杆;吸管
strawberry	n.草莓
stream	n.小河,溪流;流,一股,一串 v.流出,涌
streamline	a.流线型的 vt.使成流线型；使合理化
street	n.街，街道；行车道
strength	n.力，力量；实力；长处，优点；人力；兵力
strengthen	v.加强,巩固
strenuous	a.费力的，艰辛的；奋发的，努力的
stress	n.压力；重要性；应力；重音vt.强调，重读
stretch	v.伸展，延伸 n.拉长；伸展；一段时间/路程
strict	a.(with)严格的,严厉的;严谨的,精确的
stride	vi.大踏步走；跨越 n.一大步(pl.)长足进步
strife	n.争吵；冲突，斗争；竞争
strike	n./vi.罢工 vt.打，击；攻击；给…深刻印象
striking	a.显著的；惹人注目的，容貌出众的
string	n.弦,线,细绳;(一串),(一行) v.缚,捆
strip	v.剥,剥去 n.窄条,条纹
stripe	n.长条，条纹；军服上表示军阶的臂章条纹
strive	v.奋斗,努力
stroke	n.击;报时的钟声;一击/划/笔;中风 v.抚摸
stroll	n.&v.漫步；散步；游荡
strong	a.强壮的,强大的;强烈的,浓的
structure	n.结构,构造;建筑物 v.构造,建造
struggle	n./v.斗争,奋斗,努力
stubborn	a.顽固的,倔强的;难对付的,难以克服的
student	n.(大中学校的)学生；研究者，学者
studio	n.画室;播音室;(电影)制片厂
study	vt.学习；研究；细看 vi.读书 n.学习；研究
stuff	n.原料,材料,东西 v.填满,塞满
stumble	n.跌倒，绊倒 vi.绊(摔)倒；结结巴巴说
stun	vt.使…失去知觉；使目瞪口呆，使吃惊
stupid	a.愚蠢的,迟钝的
sturdy	a.坚定的，不屈不挠的；强健的，结实的
style	n.风格,文体;式样,时式,类型
subject	n.主题;学科 a.隶属的;易遭..的 v.使隶属
subjective	a.主观(上)的，个人的
submarine	n.潜水艇 a.水底的,海底的
submerge	v.沉没,淹没;潜入
submit	v.(to)使服从,屈服;(to)呈送,提交
subordinate	a.(to)次要的,从属的;下级的
subscribe	vi.(to)订阅，订购；同意vt.捐助，赞助
subsequent	a.随后的,后来的
subsidy	n.补助金；津贴费
substance	n.物质；实质，本质；主旨；财产，资产
substantial	a.实质的;相当的;显著的;坚固的;富裕的
substitute	n.代替者；替身；代用品 v.(for)代替,替换
subtle	a.精巧的,巧妙的;细微的,微妙的
subtract	v. (from)减(去)


suburb	n.市郊,郊区
subway	n.地铁；地下行人隧道
succeed	vi.成功；继承，接替 vt.接替；继…之后
success	n.成就，成功；成功的事物，有成就的人
successful	a.圆满的；顺利的；成功的
succession	n.连续,系列;继任,继承
successive	a.接连的,连续的
successor	n.接替的人或事物，继任者
such	a.这样的;上述的ad.那么pron.这样的人/事物
suck	v.&n.吸，舐；吸收(取)
sudden	a.出乎意料的，突然的
sue	v.控告,对…提出诉讼,起诉
suffer	v.(from)受痛苦,患病;受损失;遭受;忍受
suffice	v.充足，足够；vt.(食物等)使(某人)满足
sufficient	a.(for)足够的,充分的(比enough拘谨、正式)
sugar	n.糖，食糖 vt.加糖于
suggest	v.建议,提出；使联想,使想起…；暗示
suggestion	n.建议，意见；细微的迹象；暗示，联想
suicide	n.自杀；给自己带来恶劣后果的行为
suit	v.合适,适合;相配,适应 n.一套西服;诉讼
suitable	a.(for)合适的,适宜的
suite	n.套间；一套家具；套，组，系列
sulfur	n.(sulphur)硫
sum	n.总数,和;金额;算术题;要旨 v.合计,总计
summarize	v.(summarise)概括,总结
summary	n.摘要,概要 a.概括的,简略的
summer	n.夏天，夏季 a.夏季的
summit	n.顶，最高点；颠峰，高峰；最高级会议
summon	v.召唤;传讯,传唤;鼓起(勇气),振作(精神)
sun	n.太阳；恒星；美国Sun公司
Sunday	n.星期日
sunrise	n.日出，拂晓；朝霞
sunset	n.日落，傍晚；晚霞
sunshine	n.日光,日照；晴天；
super	a.极好的,超级的
superb	a.极好的,杰出的；华丽的；
superficial	a.表面的;肤浅的,浅薄的
superfluous	a.多余的，过剩的，
superior	a.优良的,卓越的;上级的 n.上级;长者;高手
superiority	n.优越(性)，优势，优等；高傲，傲慢
supermarket	n.超级市场
supersonic	a.超音速的,超声波的 n.超声波，超声频
superstition	n.迷信，迷信的观念习俗
supervise	v.管理,监督
supper	n.晚餐
supplement	n.补遗;增刊;附录 v.增刊,补充
supply	v.(with,to)供给,供应,补足 n.供应,供应量
support	n./vt.支撑;支持;赡养;维持 n.支持者;支柱
suppose	v.料想,猜想;假定;conj.假使...结果会怎样
suppress	v.镇压,压制;抑制,忍住;查禁
supreme	a.极度的,最重要的;至高的,最高的
sure	a.肯定的；一定会…的；有信心的，有把握的
surface	n.表面；外表 a.表面的，肤浅的
surge	vi.汹涌；彭湃；蜂拥而至 n.巨浪;汹涌;彭湃
surgeon	n.外科医生
surgery	n.外科,外科学;手术室,诊疗室
surname	n.姓
surpass	vt.超过,胜过
surplus	n.过剩,剩余；余款,余额 a.过剩的,剩余的
surprise	v.使诧异,使惊异;奇袭 n.诧异,惊异;奇袭
surrender	vi.投降，屈服 vt.放弃，交出 n.投降，认输
surround	vt.包围，环绕 n.环绕物
surroundings	n.周围的事物,环境
survey	v./n.俯瞰,眺望;全面审视,调查;测量图,勘定
survival	n.幸存,生存;幸存者,残存物
survive	v.幸免于,幸存;比…长命
susceptible	a.易受影响的;易受感动的;易受感染的
suspect	v.猜想；怀疑；察觉 a.可疑的 n.嫌疑犯
suspend	v.悬(浮)，挂；暂停，取消；推迟
suspicion	n.怀疑，猜疑；一点儿，少量
suspicious	a.(of)可疑的,多疑的,疑心的
sustain	vt.支撑,撑住;维持,持续,经受,忍耐
swallow	n.燕子;吞咽vt.吞,咽;轻信;忍受;vi.咽口水
swamp	n.沼泽；湿地 vt.浸没；使…应接不暇
swan	n.天鹅 vi.闲荡，游荡
swarm	n.蜂群;一大群 vi.涌往;挤满;云集;成群移动
sway	vi.摇动；倾斜 vt.使摇动 n.摇动；影响力
swear	v.(at)诅咒,骂人;宣誓,发誓
sweat	n.汗 v.(使)出汗
sweater	n.毛衣,绒衣,厚运动衫
sweep	v.扫,打扫;席卷,冲光;扫过,掠过
sweet	a.甜的;可爱的,美好的 n.(常pl.)糖果;甜食
swell	n./v.肿胀;膨胀;增大;增加;
swift	a./ad.快的(地);敏捷的(地)a.立刻的n.雨燕
swim	vi.游泳;游;漂浮;眩晕;充溢 vt.游过 n.游泳
swing	v.摇摆,摇荡,回转,旋转 n.秋千;摇摆,摆动
switch	n.开关；转换；鞭子 v.转变,转换；抽打
sword	n.剑，刀；武力
symbol	n.符号,标志;象征
symmetry	n.对称(性);匀称,整齐
sympathetic	a.有同情心的；赞同的；n.交感神经
sympathize	v.(sympathise)(with)同情;共鸣,同感;赞成
sympathy	n.同情，同情心；赞同，同感；慰问
symphony	n.交响乐,交响曲
symposium	n.讨论会,专题报告会;专题论文集
symptom	n.(疾病的)症状；(不好事情的)征兆,表征
syndrome	n.综合病征；并存特性
synthesis	n.(pl.syntheses)综合,合成
synthetic	a.合成的,人造的;综合的
system	n.系统，体系；制度；方法，方式，步聚
systematic	a.(systematical)系统的,有组织的
table	n.桌子;餐桌;工作台;表格 vt.搁置;提交讨论
tablet	n.药片;碑,匾
tackle	n.滑车;用具,器械 v.处理,解决;抱住,抓住
tactic	n.(tactics)策略,战术
tag	n.标签;鞋带;垂饰;vt.加标签于;附加vi.紧随
tail	n.尾巴；尾部；跟踪者 vt.尾随，跟踪
tailor	n.裁缝 v.缝制,剪裁
take	v.拿取；吃；记录；取得；花费；捕获；认为
tale	n.故事,传说
talent	n.才能,天资;人才
talk	n.谈话；聊天；讲话；演讲 v.说话；交谈
tall	a.(身材)高的,高大的；夸大的,离谱的
tame	a.驯服的,温顺的;沉闷的,乏味的 vt.驯服
tan	n./a.(皮肤因日晒而成)棕褐色(的) vt.晒黑
tangle	n.纠缠；缠结；混乱 v.(使)缠绕；变乱
tank	n.罐,槽,箱；坦克 vt.储于槽中
tanker	n.油船
tap	n.塞子;水龙头; n./v.轻打,轻敲; vt.开发
tape	n.带(子);录音带,磁带 v.录音;系,捆
